Hand,Number of hands that can call,Number of hands that should fold,Win Percentage when called,Sklansky-Chubukov Number,Call Win Ratio,Ranking,Percentile
J6o,755.00,470.00,0.378294,10.78068,469.38803,95,0.441
J3s,792.00,433.00,0.39877,12.04034,476.17416,96,0.435
T7o,765.00,460.00,0.374878,10.20476,478.21833,97,0.429
98s,841.00,384.00,0.427277,15.29334,481.660043,98,0.423
97s,853.00,372.00,0.412903,12.25142,500.793741,99,0.417
Q3o,857.00,368.00,0.415272,12.50323,501.111896,100,0.411
98o,841.00,384.00,0.394874,10.27126,508.910966,101,0.405
J5o,855.00,370.00,0.395413,9.987293,516.921885,102,0.399
J2s,891.00,334.00,0.412488,11.13873,523.473192,103,0.393
96s,878.00,347.00,0.401527,10.09767,525.459294,104,0.387
T5s,886.00,339.00,0.401897,9.9469,529.919258,105,0.381
97o,873.00,352.00,0.384566,8.570963,537.273882,106,0.375
T6o,877.00,348.00,0.385581,8.571955,538.845463,107,0.37
87s,945.00,280.00,0.422015,11.11055,546.195825,108,0.364
Q2o,975.00,250.00,0.428097,11.30295,557.605425,109,0.358
T4s,949.00,276.00,0.408748,9.260066,561.098148,110,0.352
J4o,947.00,278.00,0.405076,8.906238,563.393028,111,0.346
86s,969.00,256.00,0.410324,8.994746,571.396044,112,0.34
95s,970.00,255.00,0.403431,8.261043,578.67193,113,0.334
87o,976.00,249.00,0.396225,7.505732,589.2844,114,0.328
96o,987.00,238.00,0.393276,7.074151,598.836588,115,0.322
T3s,1026.00,199.00,0.415998,8.415718,599.186052,116,0.316
T5o,1003.00,222.00,0.394962,6.920957,606.853114,117,0.31
76s,1045.00,180.00,0.418616,8.318417,607.54628,118,0.304
J3o,1047.00,178.00,0.415307,7.914721,612.173571,119,0.298
85s,1039.00,186.00,0.406723,7.239171,616.414803,120,0.292
94s,1063.00,162.00,0.403925,6.583641,633.627725,121,0.286
T2s,1123.00,102.00,0.425488,7.538836,645.176976,122,0.28
86o,1087.00,138.00,0.402754,6.099835,649.206402,123,0.274
T4o,1097.00,128.00,0.406874,6.248512,650.659222,124,0.268
75s,1115.00,110.00,0.414674,6.59416,652.63849,125,0.262
J2o,1129.00,96.00,0.42042,6.885765,654.34582,126,0.256
93s,1121.00,104.00,0.409454,6.058991,662.002066,127,0.25
95o,1133.00,92.00,0.406508,5.650827,672.426436,128,0.245
65s,1159.00,66.00,0.418775,6.207388,673.639775,129,0.239
84s,1145.00,80.00,0.409633,5.692773,675.970215,130,0.233
T3o,1145.00,80.00,0.406672,5.480421,679.36056,131,0.227
92s,1153.00,72.00,0.406646,5.359298,684.137162,132,0.221
76o,1164.00,61.00,0.410142,5.439126,686.594712,133,0.215
T2o,1149.00,76.00,0.397258,4.832254,692.550558,134,0.209
74s,1198.00,27.00,0.412623,5.109201,703.677646,135,0.203
85o,1197.00,28.00,0.407938,4.81223,708.698214,136,0.197
83s,1201.00,24.00,0.403003,4.463809,716.993397,137,0.191
54s,1225.00,0.00,0.414534,4.850294,717.19585,138,0.185
64s,1225.00,0.00,0.413333,4.769221,718.667075,139,0.179
94o,1201.00,24.00,0.400861,4.345783,719.565939,140,0.173
82s,1207.00,18.00,0.398164,4.129509,726.416052,141,0.167
93o,1200.00,25.00,0.393756,4.000304,727.4928,142,0.161
75o,1225.00,0.00,0.40512,4.269797,728.728,143,0.155
73s,1225.00,0.00,0.400359,4.018033,734.560225,144,0.149
65o,1225.00,0.00,0.399443,3.972305,735.682325,145,0.143
53s,1225.00,0.00,0.39693,3.851054,738.76075,146,0.137
63s,1225.00,0.00,0.395336,3.777173,740.7134,147,0.131
84o,1225.00,0.00,0.394468,3.737896,741.7767,148,0.125
92o,1215.00,10.00,0.388261,3.585219,743.262885,149,0.12
43s,1225.00,0.00,0.386419,3.402163,751.636725,150,0.114
74o,1225.00,0.00,0.385498,3.366747,752.76495,151,0.108
72s,1225.00,0.00,0.381559,3.221509,757.590225,152,0.102
54o,1225.00,0.00,0.381553,3.221293,757.597575,153,0.096
64o,1225.00,0.00,0.380105,3.170312,759.371375,154,0.09
52s,1225.00,0.00,0.378493,3.114999,761.346075,155,0.084
62s,1225.00,0.00,0.37669,3.054809,763.55475,156,0.078
83o,1225.00,0.00,0.374838,2.994827,765.82345,157,0.072
42s,1225.00,0.00,0.36829,2.796223,773.84475,158,0.066
82o,1225.00,0.00,0.368277,2.795837,773.860675,159,0.06
73o,1225.00,0.00,0.366023,2.731972,776.621825,160,0.054
53o,1225.00,0.00,0.362648,2.640274,780.7562,161,0.048
63o,1225.00,0.00,0.360776,2.591343,783.0494,162,0.042
32s,1225.00,0.00,0.359844,2.567461,784.1911,163,0.036
43o,1225.00,0.00,0.351459,2.366073,794.462725,164,0.03
72o,1225.00,0.00,0.345836,2.243309,801.3509,165,0.024
52o,1225.00,0.00,0.342846,2.181602,805.01365,166,0.018
62o,1225.00,0.00,0.340751,2.139745,807.580025,167,0.012
42o,1225.00,0.00,0.331998,1.976146,818.30245,168,0.006
32o,1225.00,0.00,0.323032,1.825374,829.2858,169,0
